version,key,meta,kor,eng
v0.0.0,1,,비용: {0} NP,Cost: {0} NP
v0.0.0,2,,증폭계수 x{0},x{0} Multiplier
v0.0.0,3,,전체 브레인 증폭계수 x{0},x{0} Multiplier\nfor All Brains
v0.0.0,4,,{0}\n으로 한계 돌파,Break Limit to\n{0}
v0.0.0,5,,{0} NP 획득,Gain\n{0} NP
v0.0.0,6,,{0} NP 획득\n+ {1} NP,Gain {0} NP\n+ {1} NP
v0.0.0,7,,{0}회 업그레이드,Upgrade {0} times
v0.0.0,8,,Lv. {0},Lv. {0}
v0.0.0,9,,{0}회,{0} Attempts
v0.0.0,10,,{0},{0}
v0.0.0,11,,{0:D4}일 {1:D2}시간 {2:D2}분 {3:D2}초,{0:D4}d {1:D2}h {2:D2}m {3:D2}s
v0.0.0,12,,x{0},x{0}
v0.0.0,13,,{0} TP,{0} TP
v0.0.0,14,,{0} NP,{0} NP
v0.0.0,15,,{0}단,Depth {0}
v0.0.0,16,,{0:D4}일 {0:D2}시간 {0:D2}분 {0:D2}초,{0:D4}d {0:D2}h {0:D2}m {0:D2}s
v0.0.0,17,,남은 공짜 브레인 {0}/{1}개,Free brains remaining: {0}/{1}
v0.0.0,18,,직렬 연결은 최대 {0}단까지만 가능합니다.\n(업그레이드 가능),Cannot make a chain longer than {0}.\n(Upgradable)
v0.0.0,19,,{0:D4}년 {1:D2}월 {2:D2}일 {3:D2}시 {4:D2}분 {5:D2}초,{0:D4}.{1:D2}.{2:D2} {3:D2}:{4:D2}:{5:D2}
v0.0.0,20,,비용: {0} TP,Cost: {0} TP
v0.0.0,21,,분해\n비용: {0} TP,Decompose\nCost: {0} TP
v0.0.0,22,,남은 고정 브레인 {0}/{1}개,Fixed brains remaining: {0}/{1}
v0.0.0,23,,직전 초기화로 얻은 TP량의 {0}배 추가 획득<br>총 {1}TP 획득,Additionally gain {0} times of TP gain from last reset<br>{1} TP in total
v0.0.0,24,,{0}<br>KRW,{0}<br>USD
v0.0.0,25,,{0}위 (상위 {1}%),{0} (Top {1}%)
v0.0.0,26,,,
v0.0.0,27,,x{0} / 업그레이드 -> x{1} / 업그레이드,x{0} / Upgrade -> x{1} / Upgrade
v0.0.0,28,,{0} -> {1},{0} -> {1}
v0.0.0,29,,최대 {0}단 -> 최대 {1}단,Depth {0} -> Depth {1}
v0.0.0,30,,x{0} -> x{1},x{0} -> x{1}
v0.0.0,31,,{0}개 -> {1}개,{0} Brains -> {1} Brains
v0.0.0,32,,{0} -> {1},{0} -> {1}
v0.0.0,33,,,
v0.0.0,34,,x{0} -> x{1},x{0} -> x{1}
v0.0.0,35,,,
v0.0.0,36,,,
v0.0.0,37,,{0}% -> {1}%,{0}% -> {1}%
v0.0.0,38,,{0}% -> {1}%,{0}% -> {1}%
v0.0.0,39,,{0}% -> {1}%,{0}% -> {1}%
v0.0.0,40,,x{0} -> x{1},x{0} -> x{1}
v0.0.0,41,,,
v0.0.0,42,,{0} NP -> {1} NP,{0} NP -> {1} NP
v0.0.0,43,,ASN 최대 {0}개 -> {1}개,Maximum {0} -> {1} ASNs
v0.0.0,44,,,
v0.0.0,45,,,
v0.0.0,46,,,
v0.0.0,47,,x{0} -> x{1},x{0} -> x{1}
v0.0.0,48,,x{0} -> x{1},x{0} -> x{1}
v0.0.0,49,,x{0} -> x{1},x{0} -> x{1}
v0.0.0,50,,,
v0.0.0,51,,{0}% -> {1}%,{0}% -> {1}%
v0.0.0,52,,,
v0.0.0,53,,x{0} -> x{1},x{0} -> x{1}
v0.0.0,54,,,
v0.0.0,55,,,
v0.0.0,56,,브레인 네트워크 실험\n\nLevel. {0}\n\n시도 횟수: {1}회,Brain Network Experiment\n\nLevel. {0}\n\nAttempt {1}
v0.0.0,57,,직렬 {0}단 브레인 연결,Connect brain depth {0}
